bookID,title,authors,average_rating
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42
75,Uncommon Carriers,John McPhee,3.95
76,Heirs of General Practice,John McPhee,4.17
77,The Control of Nature,John McPhee,4.24
78,Annals of the Former World,John McPhee,4.34
79,Coming Into the Country,John McPhee,4.22
80,La Place de la Concorde Suisse,John McPhee,3.92
81,Giving Good Weight,John McPhee,4.23
83,Rising from the Plains,John McPhee,4.23
85,The Heidi Chronicles,Wendy Wasserstein,3.75
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48
133,eBay for Dummies,Marsha Collier,3.50
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62
137,Starting an eBay Business for Dummies,Marsha Collier,3.55
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05
159,Dinner with Anna Karenina,Gloria Goldreich,2.99
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71
163,The Untouchable,John Banville,3.95
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.20
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.00
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89
231,I am Charlotte Simmons,Tom Wolfe,3.42
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22
247,Quiet Days in Clichy,Henry Miller,3.69
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68
250,Tropic of Capricorn,Henry Miller,3.78
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.10
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98
253,The Air-Conditioned Nightmare,Henry Miller,3.83
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78
277,Writing,Marguerite Duras,3.75
278,The War,Marguerite Duras/Barbara Bray,3.85
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08
295,Treasure Island,Robert Louis Stevenson,3.83
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83
297,Treasure Island,Robert Louis Stevenson,3.83
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05
313,100 Years of Lynchings,Ralph Ginzburg,4.61
324,Cien años de soledad,Gabriel García Márquez,4.07
330,On Beyond Zebra!,Dr. Seuss,4.04
332,The Wedding Clause,Debbie Raleigh,3.60
333,The Zebra Wall,Kevin Henkes,3.44
337,El perfume: Historia de un asesino,Patrick Süskind,4.02
348,The Door Into Summer,Robert A. Heinlein,4.01
350,Stranger in a Strange Land,Robert A. Heinlein,3.92
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14
367,Douglas Adams's Starship Titanic,Terry Jones,3.60
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13
385,On Bullshit,Harry G. Frankfurt,3.57
386,Another Bullshit Night in Suck City,Nick Flynn,3.78
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53
399,Underworld,Don DeLillo,3.92
400,Libra,Don DeLillo,3.99
403,Americana,Don DeLillo,3.43
404,Running Dog,Don DeLillo,3.43
406,Cosmopolis,Don DeLillo,3.22
407,Great Jones Street,Don DeLillo,3.48
408,The Names,Don DeLillo,3.64
409,Against the Day,Thomas Pynchon,4.13
410,V.,Thomas Pynchon,3.96
411,The Crying of Lot 49,Thomas Pynchon,3.69
412,Gravity's Rainbow,Thomas Pynchon,4.01
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07
414,Vineland,Thomas Pynchon,3.69
415,Gravity's Rainbow,Thomas Pynchon,4.01
416,Slow Learner: Early Stories,Thomas Pynchon,3.50
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.80
420,The Year of Magical Thinking,Joan Didion,3.89
421,The White Album,Joan Didion,4.17
422,A Book of Common Prayer,Joan Didion,3.80
423,Where I Was From,Joan Didion,3.86
424,Slouching Towards Bethlehem,Joan Didion,4.21
425,Democracy,Joan Didion,3.81
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.50
428,Play It As It Lays,Joan Didion/David Thomson,3.87
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89
446,The Brooklyn Follies,Paul Auster,3.84
447,Moon Palace,Paul Auster,3.94
453,The Music of Chance,Paul Auster,3.90
454,Travels in the Scriptorium,Paul Auster,3.23
456,Leviathan,Paul Auster,3.96
463,The Red Notebook: True Stories,Paul Auster,3.77
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.40
477,Collapse of Complex Societies,Joseph A. Tainter,4.15
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.80
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39
493,My Inventions,Nikola Tesla,4.01
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95
524,Lord of the Flies,William Golding,3.68
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14
537,The Lovely Bones,Alice Sebold,3.81
538,The Lovely Bones,Alice Sebold,3.81
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.80
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.80
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73
619,Vice (V  #8),Jane Feather,3.51
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72
643,Motorcycle Basics Techbook,John Harold Haynes,3.85
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68
664,The Fountainhead,Ayn Rand,3.87
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51
667,Anthem,Ayn Rand,3.63
668,We the Living,Ayn Rand/Leonard Peikoff,3.91
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96
672,Sailing for Dummies,J.J. Isler/Peter Isler,3.95
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09
685,The Natural,Bernard Malamud/Kevin Baker,3.63
698,Digging to America,Anne Tyler,3.55
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59
703,The Plot Against America,Philip Roth,3.77
707,Naked Pictures of Famous People,Jon   Stewart,3.59
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.97
763,Cien años de soledad,Gabriel García Márquez,4.07
764,Del amor y otros demonios,Gabriel García Márquez,3.98
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99
766,Memoria de mis putas tristes,Gabriel García Márquez,3.60
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.00
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88
816,Cryptonomicon,Neal Stephenson,4.25
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.10
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93
824,The Cobweb,Neal Stephenson/J. Frederick George,3.61
826,The Big U,Neal Stephenson,3.25
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19
828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.20
830,Snow Crash,Neal Stephenson/Guy Abadia,4.03
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24
840,The Design of Everyday Things,Donald A. Norman,4.17
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95
842,The Psychology of Everyday Things,Donald A. Norman,4.17
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27
864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86
865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.50
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55
872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52
880,Pompeii,Robert   Harris,3.82
888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.60
890,Of Mice and Men,John Steinbeck,3.87
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74
902,The Westing Game,Ellen Raskin,4.02
903,The Egypt Game,Zilpha Keatley Snyder,3.83
929,Memoirs of a Geisha,Arthur Golden,4.11
930,Memoirs of a Geisha,Arthur Golden,4.11
931,Memoirs of a Geisha,Arthur Golden,4.11
932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08
933,Memoirs of a Geisha,Arthur Golden,4.11
935,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93
941,Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44
944,Jungle Love,Margaret Johnson/Philip Prowse,3.41
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.70
960,Angels & Demons (Robert Langdon  #1),Dan Brown,3.89
965,Ángeles y demonios (Robert Langdon  #1),Dan Brown,3.89
966,Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89
968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84
969,The Da Vinci Code,Dan Brown,3.84
972,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,3.84
975,Deception Point,Dan Brown,3.71
977,Deception Point,Dan Brown,3.71
980,Deception Point,Dan Brown,3.71
987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18
1007,Think and Grow Rich,Napoleon Hill,4.18
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.58
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95
1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66
1052,The Richest Man in Babylon,George S. Clason,4.26
1053,The Richest Man in Babylon,George S. Clason,4.26
1059,Shibumi,Trevanian/Gisela Stege,4.21
1067,1776,David McCullough,4.07
1068,1776,Peter  Stone/Sherman Edwards,4.22
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62
1078,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74
1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74
1103,Snow Flower and the Secret Fan,Lisa See,4.07
1110,The Broker,John Grisham,3.78
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51
1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65
1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95
1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15
1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99
1169,Monkey Business,Sarah Mlynowski,3.67
1171,Liar's Poker,Michael   Lewis,4.15
1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell,3.31
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08
1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95
1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06
1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97
1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,3.97
1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97
1218,The Last Assassin (John Rain  #5),Barry Eisler,4.27
1226,Life of Pi,Yann Martel,3.91
1230,L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,3.91
1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer,3.49
1241,A Million Little Pieces,James Frey,3.65
1242,A Million Little Pieces of Feces,Python Bonkers,3.56
1243,A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41
1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.14
1255,Leadership in Organizations,Gary Yukl,3.68
